lineage_id,year,cluster_id,n_docs
0,2020,0,6
0,2021,3,13
1,2020,1,11
2,2020,2,31
3,2020,3,84
3,2021,2,124
4,2020,4,9
5,2021,0,7
6,2021,1,8
